Full Name, Party, Utterances Count, PA Profile, Profile Photo
"Smith, Mr PF","IFP","248","https://www.pa.org.za/person/peter-francis-smith/","https://static.pmg.org.za/images/committee-members/resize/smith_mr_pf-smith_peter_francis_ifp.jpg"
"Esterhuizen, Mr JA","IFP","48","https://www.pa.org.za/person/jan-adriaan-esterhuizen/","https://static.pmg.org.za/images/committee-members/resize/esterhuizen_mr_ja-esterhuizen_jan_adriaan.jpg"
"Nkomo, Ms SJ","IFP","55","https://www.pa.org.za/person/sibongile-judith-nkomo/","https://static.pmg.org.za/1475.jpg"
"Khawula, Mr M","IFP","0","https://www.pa.org.za/person/m-khawula/#experience","https://static.pmg.org.za/images/committee-members/resize/khawula_mr_m_-khawula_mntomuhle.jpg"
"Cebekhulu, Inkosi RN","IFP","118","https://www.pa.org.za/person/russel-nsikayezwe-cebekhulu/","https://static.pmg.org.za/Cebekhulu.jpg"
"Ngwezi, Mr X","IFP","124","https://www.pa.org.za/person/xolani-ngwezi/","https://static.pmg.org.za/277.jpg"
"Buthelezi, Mr EM","IFP","238","https://www.pa.org.za/person/elphas-mfakazeleni-buthelezi/","https://static.pmg.org.za/Buthelezi_EM.jpg"
"de Klerk, Mr L","IFP","1","https://www.pa.org.za/person/lj-de-klerk/","https://static.pmg.org.za/Hon.-LJ-DE-Klerk-IFP.jpg-nggid03134-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Buthelezi, Ms P","IFP","51","https://www.pa.org.za/person/phumzile-audrey-thandekile-nokuphiwa-buthelezi/","https://static.pmg.org.za/Hon.-PATN-Buthelezi-IFP.jpg-nggid03138-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Msimango, Mr P N","IFP","18","https://www.pa.org.za/person/petros-nhlanhla-msimango/","https://static.pmg.org.za/t_Hon.-PL-Msimango-IFP.jpg-nggid0284-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Gwala, Mr MB","IFP","43","https://www.pa.org.za/person/gwala-m-b/","https://static.pmg.org.za/t_Hon-MB-GwalaIFP.jpg-nggid0259-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Nkwanyana, Ms NJ","IFP","0","https://www.pa.org.za/person/nj-nkwanyana/","https://static.pmg.org.za/t_Hon-NJ-NkwanyanaIFP.jpg-nggid0260-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Moodley, Mr S","IFP","57","https://www.pa.org.za/person/s-moodley/","https://static.pmg.org.za/t_Hon-S-MoodleyIFP.jpg-nggid0263-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Madlopha, Ms TP","IFP","2","null","https://static.pmg.org.za/t_Hon-TP-Madlopha-IFP.jpg-nggid0265-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Dhlamini, Mr BW","IFP","5","https://www.pa.org.za/person/bonginkosi-wesley-dhlamini/","https://static.pmg.org.za/bonginkosi-390x400PMG.jpg"
"Hlengwa, Ms MD","IFP","355","https://www.pa.org.za/person/magdalena-duduzile-hlengwa/","https://static.pmg.org.za/Hlengwa_MD.jpg"
"Majozi, Ms Z","IFP","710","https://www.pa.org.za/person/zandile-majozi/","https://static.pmg.org.za/ms_zandile_majozi.jpg"
